title,author,additional_authors,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read
Supreme Courtship,"Buckley, Christopher",,4,3.63,Grand Central Publishing,Hardcover,304,2008,March,2013
Sweet Tooth,"McEwan, Ian",,5,3.39,Nan A. Talese,Hardcover,301,2012,April,2013
"Sycamore Row (Jake Brigance, #2)","Grisham, John",,4,3.95,Doubleday,Hardcover,447,2013,August,2014
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,"Sheffield, Rob",,5,3.56,Dutton,Hardcover,288,2010,February,2011
Tampa,"Nutting, Alissa",,4,3.3,Ecco,ebook,272,2013,November,2014
Telegraph Avenue,"Chabon, Michael",,5,3.35,Fourth Estate,Hardcover,468,2012,January,2013
That Old Cape Magic,"Russo, Richard",,4,3.28,Knopf,Hardcover,261,2009,March,2014
"The 500 (Mike Ford, #1)","Quirk, Matthew",,3,3.44,Reagan Arthur Books,Hardcover,336,2012,January,2015
The Advocate's Devil,"Dershowitz, Alan M.",,3,3.4,Grand Central Publishing,Hardcover,352,1994,March,2014
The Art Thief,"Charney, Noah",,4,2.98,Atria Books,Hardcover,304,2007,August,2011
The Astronaut Wives Club,"Koppel, Lily",,3,3.22,Grand Central Publishing,Hardcover,288,2013,April,2015
The Book of Vice: Very Naughty Things (and How to Do Them),"Sagal, Peter",,4,3.43,Dey Street Books,Hardcover,272,2007,November,2011
The Boy Who Fell Out of the Sky,"Dornstein, Ken",,3,3.48,Random House,Hardcover,320,2006,December,2010
The Computer from Pascal to Von Neumann,"Goldstine, Herman H.",,2,3.53,Princeton University Press,Hardcover,378,1972,February,2011
The Confession,"Grisham, John",,5,3.77,Doubleday,Hardcover,418,2010,November,2011
The Death and Life of Charlie St. Cloud,"Sherwood, Ben",,5,3.99,Bantam Books,Hardcover,288,2004,February,2015
The Devil's Details: A History of the Footnote,"Zerby, Chuck",,4,3.36,Invisible Cities Press Llc,Hardcover,192,2001,November,2010
The Devotion of Suspect X,"Higashino, Keigo",Alexander O. Smith,3,3.94,Minotaur Books,Hardcover,298,2005,May,2013
The Elements of Style,"Jr., William Strunk",E.B. White,5,4.18,Longman Publishing Group,Hardcover,105,1918,March,2014
The Footprints of God,"Iles, Greg",Dick Hill,3,3.76,Brilliance Audio,Hardcover,463,2003,January,2015
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Larsson, Stieg",Reg Keeland,3,4.18,Knopf,Hardcover,563,2007,February,2011
"The Girl with the Dragon Tattoo (Millennium, #1)","Larsson, Stieg",Reg Keeland,3,4.07,Knopf,Hardcover,465,2005,April,2011
"The Givenchy Code (Codebreaker Trilogy, #1)","Kenner, Julie",,3,3.59,Pocket Books,Paperback,368,2005,November,2011
The Good Life,"McInerney, Jay",,4,3.34,Knopf,Hardcover,368,2006,August,2013
The Humanity Project,"Thompson, Jean",,4,3.28,Blue Rider Press,Hardcover,352,2013,August,2015
"The Hunger Games (The Hunger Games, #1)","Collins, Suzanne",,4,4.38,Scholastic Press,Hardcover,374,2008,May,2012
The Innocent,"McEwan, Ian",,4,3.68,Vintage,Hardcover,226,1990,February,2015
"The It Girl (It Girl, #1)","Ziegesar, Cecily von",,5,3.66,Poppy,Paperback,263,2005,January,2015
The Kill Room,"Deaver, Jeffery",,3,3.79,Grand Central Publishing,Hardcover,484,2013,December,2013
The King of Methlehem: A Novel,"Lindquist, Mark",,4,3.2,Simon & Schuster,Hardcover,256,2007,April,2013
The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,"Jacobs, A.J.",,4,3.77,Simon & Schuster,Hardcover,386,2004,May,2012
The Last Dickens,"Pearl, Matthew",,4,3.54,Random House (NY),Hardcover,386,2009,June,2012
The Last of the Savages,"McInerney, Jay",,5,3.66,Knopf,Hardcover,271,1996,February,2014
"The Lazarus Vendetta (Covert-One, #5)","Larkin, Patrick",Robert Ludlum,3,3.92,St. Martin's Paperbacks,Paperback,416,2004,July,2015
The Leftovers,"Perrotta, Tom",,3,3.35,St. Martin's Press,Hardcover,355,2011,April,2013
The Lonely Polygamist,"Udall, Brady",,4,3.49,W. W. Norton & Company,Hardcover,624,2010,May,2015
The Making Of Champions: Life In Canada's Junior A Leagues,"Olver, Robert",,3,3,Penguin Putnam~childrens Hc,Hardcover,271,1990,January,2015
The Man Who Ate the 747,"Sherwood, Ben",,5,3.35,Bantam,Hardcover,260,2000,February,2015
"The Miko (Nicholas Linnear, #2)","Lustbader, Eric Van",,3,3.86,Fawcett,Hardcover,560,1984,October,2014
The Minnesota Road Guide to Gangster Hot Spots,"Lewis, Chad",,3,3.75,On the Road Publications,Paperback,198,2009,October,2011
The Natural: The Misunderstood Presidency of Bill Clinton,"Klein, Joe",,4,3.59,Doubleday,Hardcover,240,2002,January,2014
"The Ninja (Nicholas Linnear, #1)","Lustbader, Eric Van",,4,3.9,M Evans & Co,Hardcover,442,1980,May,2014
"The Other Wes Moore: One Name, Two Fates","Moore, Wes",Tavis Smiley,4,3.73,Spiegel & Grau,Hardcover,233,2010,May,2012
The Pregnant Widow,"Amis, Martin",,3,3.05,Knopf,Hardcover,370,2010,September,2013
The Psychopath Test: A Journey Through the Madness Industry,"Ronson, Jon",,4,3.88,Riverhead Books,Hardcover,288,2011,March,2012
The Racketeer,"Grisham, John",,4,3.74,Doubleday,Hardcover,340,2012,February,2014
The Rake: A Novel,"Jr., William F. Buckley",,4,3.09,Harper,Hardcover,288,2007,September,2013
The Road,"McCarthy, Cormac",,4,3.94,Knopf,Hardcover,241,2006,January,2013
The Rockwell Heist: The extraordinary theft of seven Norman Rockwell paintings and a phony Renoir‰ÛÓand the 20-year chase for their recovery from the Midwest through Europe and South America,"Rubenstein, Bruce",,3,3.18,Borealis Books,Hardcover,180,2013,March,2014
The Science of Kissing: What Our Lips Are Telling Us,"Kirshenbaum, Sheril",,4,3.42,Grand Central Publishing,Hardcover,246,2010,March,2011
The Sex Contract: The Evolution Of Human Behaviour,"Fisher, Helen",,4,3.86,HarperCollins,Hardcover,176,1982,May,2011
The Sherlockian,"Moore, Graham",,3,3.61,Twelve,Hardcover,350,2010,July,2011
The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,"Silver, Nate",,4,3.94,Penguin,Hardcover,544,2012,March,2013
"The Sixth Lamentation (Father Anselm, #1)","Brodrick, William",,4,3.7,Viking Adult,Hardcover,400,2003,December,2013
"The Skin Collector  (Lincoln Rhyme, #11)","Deaver, Jeffery",,4,3.86,Grand Central Publishing,Hardcover,448,2015,June,2014
The Sleeping Doll (Kathryn Dance #1),"Deaver, Jeffery",,4,3.91,Simon & Schuster,Hardcover,428,2007,February,2011
The Snow Garden,"Rice, Christopher",James Daniels,3,3.76,Thomas & Mercer,Hardcover,515,2002,July,2015
"The Sweet Season: A Sportswriter Rediscovers Football, Family, and a Bit of Faith at Minnesota's St. John's University","Murphy, Austin",,4,3.99,Harper,Hardcover,336,2001,October,2011
The Technologists,"Pearl, Matthew",,4,3.46,Random House,Hardcover,480,2012,December,2014
The Thief of Always,"Barker, Clive",,4,4.17,HarperCollins Publishers,Hardcover,225,1992,July,2015
The Vintage Caper,"Mayle, Peter",,4,3.27,Knopf Publishing Group,Hardcover,223,2009,August,2012
The Weatherman,"Thayer, Steve",,5,3.7,Signet,Hardcover,412,1995,June,2015
The White Widow,"Lehrer, Jim",,4,3.03,PublicAffairs,Hardcover,224,1996,July,2015
Things a Computer Scientist Rarely Talks About,"Knuth, Donald Ervin",,4,3.99,Center for the Study of Language and Inf,Paperback,257,2001,June,2015
Thirteen and one-half,"Barr, Nevada",,3,3.3,Vanguard Press,Hardcover,320,2009,May,2011
"Threat Vector (Jack Ryan Jr., #4)","Clancy, Tom",Mark Greaney,4,4.09,Putnam Adult,Hardcover,848,2012,December,2013
"Tom Clancy Support and Defend (Jack Ryan Jr., #5)","Greaney, Mark",,4,4.07,G.P. Putnam's Sons,Hardcover,503,2014,August,2014
Top Down: A Novel of the Kennedy Assassination,"Lehrer, Jim",,4,2.95,Random House,Hardcover,208,2013,March,2015
Tribes: We Need You to Lead Us,"Godin, Seth",,3,3.81,Portfolio,Hardcover,151,2008,January,2011
Turn Around Bright Eyes: The Rituals of Love & Karaoke,"Sheffield, Rob",,4,3.61,It Books,Hardcover,288,2012,May,2015
Tuva or Bust!: Richard Feynman's Last Journey,"Leighton, Ralph",,3,3.95,W. W. Norton & Company,Hardcover,254,1991,November,2012
Twisted,"Anderson, Laurie Halse",,4,3.82,Viking Books for Young Readers,Hardcover,250,2007,May,2011
"Under Fire (Jack Ryan Jr., #6)","Blackwood, Grant",Tom Clancy,3,3.6,G.P. Putnam's Sons,Hardcover,506,2015,July,2015
Uneducated Guesses: Using Evidence to Uncover Misguided Education Policies,"Wainer, Howard",,5,3.25,Princeton University Press,Hardcover,175,2011,December,2013
Us,"Nicholls, David",,4,3.66,Harper,Hardcover,416,2014,March,2015
"We Are Anonymous: Inside the Hacker World of LulzSec, Anonymous, and the Global Cyber Insurgency","Olson, Parmy",,4,3.94,"Little, Brown and Company",Hardcover,512,2012,April,2014
What the Best College Teachers Do,"Bain, Ken",,3,3.84,Harvard University Press,Hardcover,207,2004,June,2014
Where Angels Fear To Tread,"Forster, E.M.",,4,3.57,,Paperback,169,1905,August,2014
Willful Ignorance: The Mismeasure of Uncertainty,"Weisberg, Herbert I.",,5,4.33,Wiley,Paperback,456,2014,May,2015
Worm: The First Digital World War,"Bowden, Mark",,4,3.47,Atlantic Monthly Press,Hardcover,233,2011,October,2014
"Wunnerful, Wunnerful!  The Autobiography of Lawrence Welk","Welk, Lawrence",Bernice McGeehan,4,3.75,Prentice-Hall,Hardcover,294,1971,May,2015
"XO (Kathryn Dance, #3)","Deaver, Jeffery",,4,3.72,Simon & Schuster,Hardcover,385,2012,May,2013
"You Suck (A Love Story, #2)","Moore, Christopher",,3,3.81,William Morrow & Company,Hardcover,328,2007,April,2012
