Institution,State,Debt
Diman Regional Technical Institute,MA,8601
Fitchburg State University,MA,15529
Framingham State University,MA,15522
Greenfield Community College,MA,5187
Holyoke Community College,MA,5165
University of Massachusetts-Lowell,MA,19500
University of Massachusetts-Amherst,MA,21500
University of Massachusetts-Boston,MA,16362
Massachusetts Bay Community College,MA,5365
Massachusetts College of Art and Design,MA,22500
Massachusetts Maritime Academy,MA,23250
University of Massachusetts Medical School Worcester,MA,12000
Massasoit Community College,MA,5500
Middlesex Community College,MA,4185
Mount Wachusett Community College,MA,5050
Massachusetts College of Liberal Arts,MA,18499
North Shore Community College,MA,5250
Northern Essex Community College,MA,5500
Quincy College,MA,8250
Quinsigamond Community College,MA,4950
Salem State University,MA,19415
Southeastern Technical Institute,MA,6000
Springfield Technical Community College,MA,4552
University of Massachusetts-Dartmouth,MA,19500
Westfield State University,MA,16250
Worcester State University,MA,14500
Blue Hills Regional Technical School,MA,9367
Upper Cape Cod Regional Technical School,MA,9500
Greater Lowell Technical School,MA,5500
Shawsheen Valley Regional Vocational Technical School,MA,9500
Monty Tech,MA,9500
Southern Worcester County Regional Voc School District,MA,9500
Allegany College of Maryland,MD,9500
Anne Arundel Community College,MD,7000
University of Baltimore,MD,16000
Bowie State University,MD,16500
Cecil College,MD,5500
College of Southern Maryland,MD,5500
Coppin State University,MD,12250
Frederick Community College,MD,5500
Frostburg State University,MD,16750
Garrett College,MD,6688
Hagerstown Community College,MD,5500
Harford Community College,MD,5350
Howard Community College,MD,7182
University of Maryland-University College,MD,12122
University of Maryland-Baltimore,MD,14000
University of Maryland-Baltimore County,MD,17500
University of Maryland-College Park,MD,17500
University of Maryland Eastern Shore,MD,18071
Montgomery College,MD,5750
Morgan State University,MD,22907
Prince George's Community College,MD,4114
Salisbury University,MD,16250
St Mary's College of Maryland,MD,19130
Towson University,MD,15750
Wor-Wic Community College,MD,3500
Carroll Community College,MD,4500
The Community College of Baltimore County,MD,7500
Central Maine Community College,ME,8732
Eastern Maine Community College,ME,8000
Kennebec Valley Community College,ME,8291
University of Maine at Augusta,ME,11750
University of Maine at Farmington,ME,21250
University of Maine at Fort Kent,ME,11500
University of Maine at Machias,ME,11780
University of Maine,ME,19200
Maine Maritime Academy,ME,26596
University of Maine at Presque Isle,ME,10640
Northern Maine Community College,ME,7500
Southern Maine Community College,ME,7125
University of Southern Maine,ME,17000
Washington County Community College,ME,5141
York County Community College,ME,5500
Alpena Community College,MI,5731
Bay de Noc Community College,MI,7751
Central Michigan University,MI,21721
Mott Community College,MI,6509
Delta College,MI,5500
Eastern Michigan University,MI,19114
Ferris State University,MI,17562
Glen Oaks Community College,MI,4750
Gogebic Community College,MI,6000
Grand Rapids Community College,MI,5500
Grand Valley State University,MI,20898
Henry Ford Community College,MI,6896
Jackson College,MI,6647
Kalamazoo Valley Community College,MI,6442
Kellogg Community College,MI,9346
Kirtland Community College,MI,6750
Lake Michigan College,MI,7941
Lake Superior State University,MI,16563
Lansing Community College,MI,8102
Macomb Community College,MI,2773
University of Michigan-Ann Arbor,MI,21000
Michigan State University,MI,22734
Michigan Technological University,MI,21812
University of Michigan-Dearborn,MI,18750
University of Michigan-Flint,MI,21176
Mid Michigan Community College,MI,7727
Monroe County Community College,MI,5047
Montcalm Community College,MI,7659
Muskegon Community College,MI,4220
North Central Michigan College,MI,6500
Northern Michigan University,MI,14601
Northwestern Michigan College,MI,9500
Oakland Community College,MI,5500
Oakland University,MI,18250
Saginaw Valley State University,MI,19000
Schoolcraft College,MI,4501
St Clair County Community College,MI,6068
Southwestern Michigan College,MI,7491
Washtenaw Community College,MI,7000
Wayne County Community College District,MI,5479
Wayne State University,MI,16000
West Shore Community College,MI,6112
Western Michigan University,MI,20875
Alexandria Technical & Community College,MN,9500
Anoka Technical College,MN,10500
Anoka-Ramsey Community College,MN,8862
Riverland Community College,MN,10461
Northwest Technical College,MN,9000
Bemidji State University,MN,13500
Central Lakes College-Brainerd,MN,9500
Dakota County Technical College,MN,9990
Lake Superior College,MN,9250
Minnesota State Community and Technical College,MN,9575
Minnesota West Community and Technical College,MN,10307
Hennepin Technical College,MN,10066
Hibbing Community College,MN,9500
Inver Hills Community College,MN,9000
Itasca Community College,MN,7995
South Central College,MN,9700
Minnesota State University-Mankato,MN,15116
Mesabi Range Community and Technical College,MN,9538
Metropolitan State University,MN,15250
University of Minnesota-Twin Cities,MN,18822
University of Minnesota-Crookston,MN,14370
Minneapolis Community and Technical College,MN,10100
University of Minnesota-Duluth,MN,18925
University of Minnesota-Morris,MN,14768
Minnesota State University-Moorhead,MN,15772
North Hennepin Community College,MN,9189
Normandale Community College,MN,8707
Northland Community and Technical College,MN,10500
Pine Technical College,MN,10000
Rainy River Community College,MN,5500
Rochester Community and Technical College,MN,9500
St Cloud Technical and Community College,MN,8086
Saint Cloud State University,MN,15348
Saint Paul College,MN,8718
Southwest Minnesota State University,MN,15750
Vermilion Community College,MN,8660
Ridgewater College,MN,9500
Minnesota State College-Southeast Technical,MN,10453
Winona State University,MN,18288
Century College,MN,9500
Fond du Lac Tribal and Community College,MN,10500
University of Minnesota-Rochester,MN,18822
Anoka-Ramsey Community College-Cambridge Campus,MN,8862
Central Lakes College-Staples Campus,MN,9500
M State - Detroit Lakes Campus,MN,9575
M State - Moorhead Campus,MN,9575
M State - Wadena Campus,MN,9575
South Central  College-Faribault,MN,9700
Mesabi Range Community and Technical College,MN,9538
Northland Community and Technical College - East Grand Forks,MN,10500
Ridgewater College,MN,9500
Minnesota State College-SE Technical-Red Wing,MN,10453
Cape Girardeau Career and Technology Center,MO,8250
University of Central Missouri,MO,15296
Columbia Area Career Center,MO,5878
Crowder College,MO,6448
East Central College,MO,7907
Four Rivers Career Center,MO,5500
Ozarks Technical Community College,MO,8508
Harris-Stowe State University,MO,9500
Jefferson College,MO,7339
Lex La-Ray Technical Center,MO,7319
Lincoln University,MO,14000
Linn State Technical College,MO,8750
Metropolitan Community College-Kansas City,MO,6000
Mineral Area College,MO,8000
Missouri Southern State University,MO,11500
Missouri Western State University,MO,11819
University of Missouri-Columbia,MO,17500
University of Missouri-Kansas City,MO,15750
Missouri University of Science and Technology,MO,18843
University of Missouri-St Louis,MO,18223
Moberly Area Community College,MO,6508
Hillyard Technical Center,MO,4750
Truman State University,MO,17500
Northwest Missouri State University,MO,14815
Poplar Bluff Technical Career Center,MO,9500
Rolla Technical Institute,MO,9500
Sikeston Career and Technology Center,MO,9500
Saint Louis Community College,MO,6000
Missouri State University-West Plains,MO,7000
State Fair Community College,MO,6196
Southeast Missouri State University,MO,14000
Missouri State University-Springfield,MO,15000
Three Rivers Community College,MO,7500
North Central Missouri College,MO,8964
Clinton Technical School,MO,10615
Pike-Lincoln Technical Center,MO,8500
St Charles Community College,MO,5250
Waynesville Career Center,MO,9500
Lebanon Technology and Career Center,MO,11000
Franklin Technology-MSSU,MO,7600
South Central Career Center,MO,5974
Warrensburg Area Career Center,MO,9500
Cass Career Center,MO,8835
Applied Technology Services,MO,13650
Northland Career Center,MO,9500
Northern Marianas College,MP,2000
Alcorn State University,MS,19696
Copiah-Lincoln Community College,MS,4064
Delta State University,MS,12500
East Central Community College,MS,6500
East Mississippi Community College,MS,7053
Hinds Community College,MS,4365
Holmes Community College,MS,3750
Itawamba Community College,MS,6500
Jackson State University,MS,23750
Jones County Junior College,MS,5500
Meridian Community College,MS,4686
University of Mississippi,MS,15750
University of Mississippi Medical Center,MS,15750
Mississippi University for Women,MS,14000
Mississippi Valley State University,MS,20969
Mississippi Gulf Coast Community College,MS,6250
Mississippi State University,MS,15500
Northeast Mississippi Community College,MS,5112
Northwest Mississippi Community College,MS,4750
Pearl River Community College,MS,5500
University of Southern Mississippi,MS,16600
Copiah-Lincoln Community College Simpson County Center,MS,4064
Copiah-Lincoln Community College-Natchez Campus,MS,4064
Pearl River Community College-Forrest County Center,MS,5500
